"","ID1","ID2","distance","sero1","phylo_grp1","sero2","phylo_grp2","change_st","distance_rank"
"108","12299_1#61","18090_2#42",90.3844090000004,"19A",1,"14",1,1,1
"109","12299_1#7","18090_2#42",86.3402630000004,"19A",1,"14",1,1,1
"110","12299_1#70","18090_2#42",84.2956390000004,"19A",1,"14",1,1,1
"111","12299_1#8","18090_2#42",103.238479,"19A",1,"14",1,1,1
"112","12299_1#80","18090_2#42",73.245647,"19F",1,"14",1,1,1
"113","12837_1#20","18090_2#42",711.296122,"19F",1,"14",1,1,1
"114","12837_1#22","18090_2#42",86.7085950000001,"19F",1,"14",1,1,1
"115","12837_1#25","18090_2#42",646.462003,"19F",1,"14",1,1,1
"116","12837_2#14","18090_2#42",89.1140370000002,"19F",1,"14",1,1,1
"117","12837_2#24","18090_2#42",98.8635860000002,"19F",1,"14",1,1,1
"118","12837_2#39","18090_2#42",642.808741,"19F",1,"14",1,1,1
"119","12837_3#87","18090_2#42",81.6722060000001,"19F",1,"14",1,1,1
"120","12837_4#2","18090_2#42",84.7466590000001,"19F",1,"14",1,1,1
"121","12837_4#22","18090_2#42",71.0582020000001,"19F",1,"14",1,1,1
"122","12837_4#3","18090_2#42",90.2265530000002,"19F",1,"14",1,1,1
"123","12837_4#66","18090_2#42",644.304624,"19F",1,"14",1,1,1
"124","12837_5#47","18090_2#42",75.5007490000001,"19F",1,"14",1,1,1
"125","12837_5#57","18090_2#42",88.2044800000002,"19F",1,"14",1,1,1
"126","12837_5#69","18090_2#42",85.1901620000001,"19F",1,"14",1,1,1
"127","12837_5#72","18090_2#42",102.516847,"19F",1,"14",1,1,1
"128","12837_5#78","18090_2#42",69.9757540000001,"19F",1,"14",1,1,1
"129","12838_1#73","18090_2#42",87.6557380000002,"19A",1,"14",1,1,1
"130","13091_6#26","18090_2#42",77.815984,"19F",1,"14",1,1,1
"131","13091_6#36","18090_2#42",79.4095890000002,"19F",1,"14",1,1,1
"132","13091_6#81","18090_2#42",85.7163520000004,"19A",1,"14",1,1,1
"133","13091_6#82","18090_2#42",83.8145510000001,"19A",1,"14",1,1,1
"134","13154_2#17","18090_2#42",84.4384620000005,"19A",1,"14",1,1,1
"135","13154_2#18","18090_2#42",88.0315880000005,"19A",1,"14",1,1,1
"136","13154_2#29","18090_2#42",89.7379470000001,"19F",1,"14",1,1,1
"137","13154_2#84","18090_2#42",58.068824,"19F",1,"14",1,1,1
"138","13154_2#85","18090_2#42",58.076341,"19F",1,"14",1,1,1
"139","13154_3#43","18090_2#42",84.0024760000002,"19A",1,"14",1,1,1
"140","13154_3#44","18090_2#42",76.0870750000004,"19A",1,"14",1,1,1
"141","13154_3#49","18090_2#42",94.9321940000004,"19A",1,"14",1,1,1
"142","13154_3#74","18090_2#42",84.8293460000004,"19A",1,"14",1,1,1
"143","13154_3#75","18090_2#42",82.7922390000002,"19A",1,"14",1,1,1
"144","13154_3#78","18090_2#42",95.8718180000005,"19A",1,"14",1,1,1
"145","13154_3#88","18090_2#42",72.2007860000002,"19A",1,"14",1,1,1
"146","13353_7#15","18090_2#42",94.1203580000005,"19A",1,"14",1,1,1
"147","13353_7#78","18090_2#42",93.9549830000001,"19A",1,"14",1,1,1
"148","13414_1#36","18090_2#42",94.0151200000005,"19A",1,"14",1,1,1
"149","13414_2#15","18090_2#42",93.9474670000005,"19A",1,"14",1,1,1
"150","13414_2#20","18090_2#42",95.1276370000004,"19A",1,"14",1,1,1
"151","13414_2#22","18090_2#42",87.9263510000001,"19F",1,"14",1,1,1
"152","13414_2#63","18090_2#42",95.0674990000001,"19A",1,"14",1,1,1
"153","13414_2#64","18090_2#42",95.6763770000002,"19A",1,"14",1,1,1
"154","13414_2#67","18090_2#42",90.7226740000002,"19A",1,"14",1,1,1
"155","13414_2#83","18090_2#42",98.3449120000002,"19A",1,"14",1,1,1
"156","13414_2#91","18090_2#42",97.2248780000003,"19A",1,"14",1,1,1
"157","13414_3#13","18090_2#42",81.1685670000001,"19F",1,"14",1,1,1
"158","13414_3#16","18090_2#42",95.0148800000002,"19A",1,"14",1,1,1
"159","13414_3#95","18090_2#42",103.554193,"19A",1,"14",1,1,1
"160","13414_4#34","18090_2#42",69.9907880000001,"19F",1,"14",1,1,1
"161","13414_4#42","18090_2#42",92.9552230000005,"19A",1,"14",1,1,1
"162","13414_8#22","18090_2#42",92.7823320000001,"19F",1,"14",1,1,1
"163","13414_8#86","18090_2#42",80.3116280000001,"19F",1,"14",1,1,1
"164","13415_4#40","18090_2#42",67.540246,"19F",1,"14",1,1,1
"165","13415_4#49","18090_2#42",646.439452,"19F",1,"14",1,1,1
"166","13415_5#11","18090_2#42",72.0203780000001,"19F",1,"14",1,1,1
"167","13415_5#59","18090_2#42",73.5388120000001,"19F",1,"14",1,1,1
"168","13415_5#65","18090_2#42",86.7311480000001,"19F",1,"14",1,1,1
"169","13415_5#66","18090_2#42",94.5037250000001,"19F",1,"14",1,1,1
"170","13415_6#21","18090_2#42",78.9209850000001,"19F",1,"14",1,1,1
"171","13415_6#23","18090_2#42",639.117894,"19F",1,"14",1,1,1
"172","13415_6#25","18090_2#42",653.550534,"19F",1,"14",1,1,1
"173","13415_6#51","18090_2#42",80.8678870000001,"19F",1,"14",1,1,1
"174","13415_7#72","18090_2#42",661.127672,"19F",1,"14",1,1,1
"175","13415_7#73","18090_2#42",639.824492,"19F",1,"14",1,1,1
"176","13415_7#83","18090_2#42",86.5131540000002,"19F",1,"14",1,1,1
"177","13415_8#47","18090_2#42",641.666157,"19F",1,"14",1,1,1
"178","13415_8#64","18090_2#42",75.9517690000001,"19F",1,"14",1,1,1
"179","13415_8#65","18090_2#42",648.792274,"19F",1,"14",1,1,1
"180","13470_1#40","18090_2#42",75.3428920000001,"19F",1,"14",1,1,1
"181","13470_1#47","18090_2#42",75.3428920000001,"19F",1,"14",1,1,1
"182","13470_1#75","18090_2#42",643.928778,"19F",1,"14",1,1,1
"183","13670_3#16","18090_2#42",60.992937,"19F",1,"14",1,1,1
"184","13710_1#33","18090_2#42",87.1295470000002,"19A",1,"14",1,1,1
"185","13710_1#44","18090_2#42",88.272128,"19F",1,"14",1,1,1
"186","13710_1#45","18090_2#42",89.1816890000005,"19A",1,"14",1,1,1
"187","13710_1#47","18090_2#42",104.794498,"19A",1,"14",1,1,1
"188","13710_2#33","18090_2#42",105.14028,"19A",1,"14",1,1,1
"189","13710_2#34","18090_2#42",92.3613800000002,"19A",1,"14",1,1,1
"190","13710_2#58","18090_2#42",100.502291,"19A",1,"14",1,1,1
"191","14257_1#8","18090_2#42",75.9517690000001,"19F",1,"14",1,1,1
"192","14410_5#3","18090_2#42",544.193216,"19F",1,"14",1,1,1
"193","14410_6#10","18090_2#42",540.419683,"19F",1,"14",1,1,1
"194","14410_7#64","18090_2#42",518.733138,"19F",1,"14",1,1,1
"195","14410_8#16","18090_2#42",81.1084310000001,"19F",1,"14",1,1,1
"196","14410_8#56","18090_2#42",86.5131540000002,"19F",1,"14",1,1,1
"197","14410_8#91","18090_2#42",649.972441,"19F",1,"14",1,1,1
"198","14412_1#5","18090_2#42",84.1979180000001,"19F",1,"14",1,1,1
"199","14412_1#69","18090_2#42",642.064558,"19F",1,"14",1,1,1
"200","14412_1#7","18090_2#42",655.444818,"19F",1,"14",1,1,1
"201","14412_2#61","18090_2#42",75.1324160000001,"19F",1,"14",1,1,1
"202","14412_2#65","18090_2#42",656.5423,"19F",1,"14",1,1,1
"203","14520_6#44","18090_2#42",662.119914,"19F",1,"14",1,1,1
"204","14520_7#52","18090_2#42",534.609041,"19F",1,"14",1,1,1
"205","14520_7#80","18090_2#42",565.887279,"19F",1,"14",1,1,1
"206","14555_3#13","18090_2#42",82.1532940000001,"19F",1,"14",1,1,1
"207","14555_3#14","18090_2#42",83.3409800000002,"19F",1,"14",1,1,1
"208","14555_3#50","18090_2#42",79.6050310000001,"19F",1,"14",1,1,1
"209","14555_3#82","18090_2#42",85.3179500000001,"19F",1,"14",1,1,1
"210","14555_3#94","18090_2#42",75.7638440000001,"19F",1,"14",1,1,1
"211","14566_4#59","18090_2#42",81.2813220000001,"19F",1,"14",1,1,1
"212","14566_4#80","18090_2#42",657.827707,"19F",1,"14",1,1,1
"213","14566_5#14","18090_2#42",652.114787,"19F",1,"14",1,1,1
"214","14566_5#42","18090_2#42",77.1469720000001,"19F",1,"14",1,1,1
"215","14566_5#44","18090_2#42",84.3181910000001,"19F",1,"14",1,1,1
"216","14566_5#47","18090_2#42",659.481446,"19F",1,"14",1,1,1
"217","14566_5#88","18090_2#42",90.7527420000002,"19F",1,"14",1,1,1
"218","14566_6#20","18090_2#42",79.5599290000001,"19F",1,"14",1,1,1
"219","14566_6#44","18090_2#42",94.4661410000002,"19F",1,"14",1,1,1
"220","14566_6#89","18090_2#42",93.5415490000001,"19F",1,"14",1,1,1
"221","14673_1#2","18090_2#42",104.305892,"19A",1,"14",1,1,1
"222","14673_1#48","18090_2#42",90.5873680000005,"19A",1,"14",1,1,1
"223","14673_1#52","18090_2#42",76.9815980000002,"19A",1,"14",1,1,1
"224","14673_1#62","18090_2#42",80.4018330000002,"19A",1,"14",1,1,1
"225","14673_1#67","18090_2#42",96.5107650000005,"19A",1,"14",1,1,1
"226","14673_1#71","18090_2#42",100.810488,"19A",1,"14",1,1,1
"227","14673_1#81","18090_2#42",91.3616180000002,"19A",1,"14",1,1,1
"228","14673_1#82","18090_2#42",95.9996080000005,"19A",1,"14",1,1,1
"229","14673_1#84","18090_2#42",89.5876070000002,"19A",1,"14",1,1,1
"230","14673_1#86","18090_2#42",90.1363480000002,"19A",1,"14",1,1,1
"231","14673_2#29","18090_2#42",90.5873680000005,"19A",1,"14",1,1,1
"232","14673_2#34","18090_2#42",77.9813590000001,"19A",1,"14",1,1,1
"233","14673_2#57","18090_2#42",91.3315510000002,"19A",1,"14",1,1,1
"234","14673_2#76","18090_2#42",89.1967230000005,"19A",1,"14",1,1,1
"235","14673_2#88","18090_2#42",89.8431850000001,"19A",1,"14",1,1,1
"236","14673_3#10","18090_2#42",182.28725,"19F",1,"14",1,1,1
"237","14673_3#43","18090_2#42",83.9724080000002,"19A",1,"14",1,1,1
"238","14673_3#5","18090_2#42",87.5429820000002,"19A",1,"14",1,1,1
"239","14673_3#7","18090_2#42",96.9542670000001,"19A",1,"14",1,1,1
"240","14673_3#71","18090_2#42",80.3266630000001,"19A",1,"14",1,1,1
"241","14673_3#8","18090_2#42",88.7081170000002,"19A",1,"14",1,1,1
"242","14673_4#19","18090_2#42",95.8793370000005,"19A",1,"14",1,1,1
"243","14673_4#20","18090_2#42",89.4071990000005,"19A",1,"14",1,1,1
"244","14673_4#30","18090_2#42",104.471269,"19A",1,"14",1,1,1
"245","14673_4#32","18090_2#42",102.178583000001,"19A",1,"14",1,1,1
"246","14723_6#54","18090_2#42",88.196958,"19F",1,"14",1,1,1
"247","14723_6#65","18090_2#42",71.5919060000001,"19F",1,"14",1,1,1
"248","14723_6#67","18090_2#42",95.9169210000002,"19A",1,"14",1,1,1
"249","14723_6#68","18090_2#42",94.7066840000002,"19A",1,"14",1,1,1
"250","14913_3#25","18090_2#42",78.5150660000001,"19F",1,"14",1,1,1
"251","14913_3#89","18090_2#42",654.610431,"19F",1,"14",1,1,1
"252","14913_3#94","18090_2#42",657.263932,"19F",1,"14",1,1,1
"253","14913_5#30","18090_2#42",73.4937100000001,"19F",1,"14",1,1,1
"254","14913_5#95","18090_2#42",88.6254300000001,"3",1,"14",1,1,1
"255","14913_7#67","18090_2#42",79.7704040000001,"19F",1,"14",1,1,1
"256","14913_7#70","18090_2#42",660.330868,"19F",1,"14",1,1,1
"257","14936_4#28","18090_2#42",107.162355,"19A",1,"14",1,1,1
"258","14936_4#80","18090_2#42",83.6792450000001,"19F",1,"14",1,1,1
"259","14936_6#47","18090_2#42",98.9688230000002,"19F",1,"14",1,1,1
"260","14936_6#72","18090_2#42",648.484076,"19F",1,"14",1,1,1
"261","15277_1#17","18090_2#42",92.2185570000001,"19A",1,"14",1,1,1
"262","15378_2#24","18090_2#42",552.446881,"19F",1,"14",1,1,1
"263","15378_2#56","18090_2#42",538.660705,"19F",1,"14",1,1,1
"264","15378_2#59","18090_2#42",537.232475,"19F",1,"14",1,1,1
"265","15531_4#42","18090_2#42",547.906613,"19F",1,"14",1,1,1
"266","15531_4#78","18090_2#42",549.229605,"19F",1,"14",1,1,1
"267","15531_4#87","18090_2#42",487.372214,"19F",1,"14",1,1,1
"268","15531_5#52","18090_2#42",551.853038,"19F",1,"14",1,1,1
"269","15531_5#55","18090_2#42",541.509648,"19F",1,"14",1,1,1
"270","15531_5#66","18090_2#42",429.739375,"19A",1,"14",1,1,1
"271","15531_7#4","18090_2#42",500.271386,"19F",1,"14",1,1,1
"272","15531_7#7","18090_2#42",434.189439,"19A",1,"14",1,1,1
"273","15608_2#38","18090_2#42",68.1867060000001,"19F",1,"14",1,1,1
"274","15608_2#50","18090_2#42",158.631251,"19F",1,"14",1,1,1
"275","15608_3#47","18090_2#42",87.8361460000004,"19A",1,"14",1,1,1
"276","15608_3#66","18090_2#42",91.9930470000004,"19A",1,"14",1,1,1
"277","15608_4#65","18090_2#42",105.501096,"19A",1,"14",1,1,1
"278","15608_4#70","18090_2#42",93.57913,"19F",1,"14",1,1,1
"279","15608_5#73","18090_2#42",80.91299,"19F",1,"14",1,1,1
"280","15608_5#90","18090_2#42",124.36876,"19F",1,"14",1,1,1
"281","15682_1#50","18090_2#42",80.13122,"19F",1,"14",1,1,1
"282","15682_1#56","18090_2#42",242.212768,"19F",1,"14",1,1,1
"283","15682_1#61","18090_2#42",97.0745390000001,"19A",1,"14",1,1,1
"284","15682_1#67","18090_2#42",92.3914480000001,"19F",1,"14",1,1,1
"285","15682_1#72","18090_2#42",101.862868,"19A",1,"14",1,1,1
"286","15682_1#73","18090_2#42",123.985397,"19F",1,"14",1,1,1
"287","15682_1#81","18090_2#42",99.4499110000002,"19A",1,"14",1,1,1
"288","15682_1#84","18090_2#42",51.062981,"19F",1,"14",1,1,1
"289","15682_2#1","18090_2#42",103.99018,"19A",1,"14",1,1,1
"290","15682_2#13","18090_2#42",102.997934,"19A",1,"14",1,1,1
"291","15682_2#27","18090_2#42",84.3257080000001,"19F",1,"14",1,1,1
"292","15682_2#55","18090_2#42",85.2352640000003,"19A",1,"14",1,1,1
"293","15682_2#64","18090_2#42",91.151144,"19F",1,"14",1,1,1
"294","15682_2#67","18090_2#42",99.4348770000001,"19A",1,"14",1,1,1
"295","15682_2#68","18090_2#42",86.580808,"19F",1,"14",1,1,1
"296","15682_2#74","18090_2#42",103.261029,"19A",1,"14",1,1,1
"297","15682_2#75","18090_2#42",109.14684,"19A",1,"14",1,1,1
"298","15682_2#79","18090_2#42",110.304459,"19A",1,"14",1,1,1
"299","15731_8#39","18090_2#42",658.128387,"19F",1,"14",1,1,1
"300","15841_4#22","18090_2#42",655.550057,"19F",1,"14",1,1,1
"301","15841_4#24","18090_2#42",79.875642,"3",1,"14",1,1,1
"302","15841_4#33","18090_2#42",632.818643,"19F",1,"14",1,1,1
"303","15841_4#41","18090_2#42",631.194971,"19F",1,"14",1,1,1
"304","15841_4#6","18090_2#42",641.350443,"19F",1,"14",1,1,1
"305","15841_4#67","18090_2#42",630.736434,"19F",1,"14",1,1,1
"306","15873_3#18","18090_2#42",532.872614,"19F",1,"14",1,1,1
"307","15874_1#15","18090_2#42",649.619143,"19F",1,"14",1,1,1
"308","15874_1#44","18090_2#42",79.9959150000001,"19F",1,"14",1,1,1
"309","15874_1#56","18090_2#42",91.444306,"19F",1,"14",1,1,1
"310","16043_2#58","18090_2#42",44.410437,"19F",1,"14",1,1,1
"311","16043_2#60","18090_2#42",77.522819,"19F",1,"14",1,1,1
"312","16043_2#61","18090_2#42",76.523061,"23F",1,"14",1,1,1
"313","16043_2#65","18090_2#42",70.750002,"19F",1,"14",1,1,1
"314","16453_2#11","18090_2#42",530.301802,"19F",1,"14",1,1,1
"315","16453_2#20","18090_2#42",528.219594,"19F",1,"14",1,1,1
"316","17059_6#4","18090_2#42",97.4954910000001,"19F",1,"14",1,1,1
"317","17059_7#34","18090_2#42",652.475603,"19F",1,"14",1,1,1
"318","17059_7#38","18090_2#42",77.1319380000001,"19F",1,"14",1,1,1
"319","17059_8#38","18090_2#42",80.800234,"19F",1,"14",1,1,1
"320","17059_8#69","18090_2#42",654.497676,"19F",1,"14",1,1,1
"321","17138_3#22","18090_2#42",81.521866,"19F",1,"14",1,1,1
"322","17138_3#77","18090_2#42",657.44434,"19F",1,"14",1,1,1
"323","17138_4#8","18090_2#42",92.4290320000002,"19F",1,"14",1,1,1
"324","17150_4#11","18090_2#42",78.7105090000001,"19F",1,"14",1,1,1
"325","17150_4#14","18090_2#42",657.872809,"19F",1,"14",1,1,1
"326","17150_4#31","18090_2#42",640.7566,"19F",1,"14",1,1,1
"327","17150_4#44","18090_2#42",76.8688430000001,"19F",1,"14",1,1,1
"328","17150_4#57","18090_2#42",78.875881,"19F",1,"14",1,1,1
"329","17150_4#69","18090_2#42",648.544211,"19F",1,"14",1,1,1
"330","17150_5#32","18090_2#42",89.0839680000001,"19F",1,"14",1,1,1
"331","17150_5#76","18090_2#42",648.589314,"19F",1,"14",1,1,1
"332","17150_5#80","18090_2#42",90.8354300000001,"19F",1,"14",1,1,1
"333","17150_6#33","18090_2#42",84.7917610000001,"19F",1,"14",1,1,1
"334","17150_6#38","18090_2#42",671.726643,"19F",1,"14",1,1,1
"335","17150_6#55","18090_2#42",671.711609,"19F",1,"14",1,1,1
"336","17150_6#62","18090_2#42",671.726643,"19F",1,"14",1,1,1
"337","17150_6#70","18090_2#42",671.719126,"19F",1,"14",1,1,1
"338","17150_6#86","18090_2#42",671.704092,"19F",1,"14",1,1,1
"339","17150_6#89","18090_2#42",89.1365870000001,"19F",1,"14",1,1,1
"340","17175_4#17","18090_2#42",636.374189,"19F",1,"14",1,1,1
"341","17175_5#18","18090_2#42",655.775566,"19F",1,"14",1,1,1
"342","17175_5#20","18090_2#42",670.944871,"19F",1,"14",1,1,1
"343","17175_5#27","18090_2#42",672.42572,"19F",1,"14",1,1,1
"344","17175_5#69","18090_2#42",669.088173,"19F",1,"14",1,1,1
"345","17175_5#80","18090_2#42",73.5463290000001,"19F",1,"14",1,1,1
"346","17175_6#10","18090_2#42",650.461047,"19F",1,"14",1,1,1
"347","17175_6#18","18090_2#42",659.090562,"19F",1,"14",1,1,1
"348","17175_6#65","18090_2#42",664.570454,"19F",1,"14",1,1,1
"349","17175_7#1","18090_2#42",81.4241450000001,"19F",1,"14",1,1,1
"350","17175_7#15","18090_2#42",86.0019970000001,"19F",1,"14",1,1,1
"351","17175_7#65","18090_2#42",649.130538,"19F",1,"14",1,1,1
"352","17175_7#81","18090_2#42",81.3489750000001,"19F",1,"14",1,1,1
"353","17175_8#81","18090_2#42",86.4003980000001,"19F",1,"14",1,1,1
"354","17794_7#113","18090_2#42",513.952326,"19F",1,"14",1,1,1
"355","17794_7#133","18090_2#42",544.366106,"19F",1,"14",1,1,1
"356","17794_7#66","18090_2#42",417.148397,"19A",1,"14",1,1,1
"357","17794_8#138","18090_2#42",99.4724610000001,"19A",1,"14",1,1,1
"358","17794_8#23","18090_2#42",555.062797,"19F",1,"14",1,1,1
