"","ID1","ID2","distance","sero1","phylo_grp1","sero2","phylo_grp2","change_st","sg1","sg2","sg_switch","distance_rank","repN","change_sg"
"54","11657_4#55","11511_8#4",35.8185050000001,"19A",1,"19A",1,0,"19","19",0,1,1,0
"55","15682_1#86","11511_8#44",36.2649250000002,"4",27,"4",27,0,"4","4",0,1,1,0
"56","17966_5#135","11511_8#46",32.989042,"19A",27,"19A",27,0,"19","19",0,1,1,0
"57","13414_2#64","11511_8#57",36.1492530000002,"19A",1,"19A",1,0,"19","19",0,1,1,0
"58","11658_2#50","11511_8#58",172.6244,"15BC",4,"15BC",4,0,"15","15",0,1,1,0
"59","14673_4#30","11511_8#59",35.9087110000004,"19A",1,"19A",1,0,"19","19",0,1,1,0
"60","15682_1#50","11511_8#59",36.419864,"19F",1,"19A",1,1,"19","19",0,1,1,0
"61","17966_5#120","11511_8#62",44.948829,"7F",15,"7F",15,0,"7","7",0,1,1,0
"62","13091_6#67","11511_8#64",23.463552,"14",6,"14",6,0,"14","14",0,1,1,0
"63","11657_8#35","11511_8#64",23.26128,"23F",6,"14",6,1,"23","14",1,1,1,1
"64","13154_2#45","11511_8#70",27.719692,"14",6,"14",6,0,"14","14",0,1,1,0
"65","12291_1#77","11511_8#71",35.595956,"6B",23,"6B",23,0,"6","6",0,1,1,0
"66","11657_4#85","11511_8#72",34.7911760000002,"19A",10,"19A",10,0,"19","19",0,1,1,0
"67","11679_1#93","11511_8#79",52.938012,"6B",23,"6B",23,0,"6","6",0,1,1,0
"68","19084_8#12","11511_8#80",72.393467,"19F",14,"23F",14,1,"19","23",1,1,1,1
"69","11511_8#84","11511_8#80",69.430743,"23F",14,"23F",14,0,"23","23",0,1,1,0
"70","11511_8#80","11511_8#84",69.430743,"23F",14,"23F",14,0,"23","23",0,1,1,0
"71","19084_8#16","11511_8#89",34.8387510000002,"7C",18,"7C",18,0,"7","7",0,1,1,0
"72","11822_1#9","11657_1#70",55.397243,"14",6,"9V",6,1,"14","9",1,1,1,1
"73","15682_2#12","11657_1#70",56.189475,"9V",6,"9V",6,0,"9","9",0,1,1,0
"74","12299_1#14","11657_1#72",108.173771,"7C",18,"7C",18,0,"7","7",0,1,1,0
"75","14673_3#15","11657_1#74",41.703575,"22F",19,"22F",19,0,"22","22",0,1,1,0
"76","15277_1#23","11657_1#76",155.48227,"19A",4,"19F",4,1,"19","19",0,1,1,0
"77","14673_4#56","11657_1#85",37.6555429999999,"19F",27,"4",27,1,"19","4",1,1,1,1
"78","11511_7#85","11657_1#85",35.0920789999999,"4",27,"4",27,0,"4","4",0,1,1,0
"79","11511_7#51","11657_1#86",57.2977450000001,"6B",23,"6B",23,0,"6","6",0,1,1,0
"80","12291_1#81","11657_1#91",32.363519,"9V",6,"9V",6,0,"9","9",0,1,1,0
"81","14673_2#2","11657_2#16",37.237939,"6B",24,"6B",24,0,"6","6",0,1,1,0
"82","13414_2#54","11657_2#16",113.803131,"6C",24,"6B",24,1,"6","6",0,1,1,0
"83","11822_1#11","11657_2#18",145.992842,"18C",50,"18C",50,0,"18","18",0,1,1,0
"84","14673_1#31","11657_2#2",112.92384,"18B",50,"18C",50,1,"18","18",0,1,1,0
"85","11826_1#57","11657_2#2",79.032193,"18C",50,"18C",50,0,"18","18",0,1,1,0
"86","21999_7#122","11657_2#26",165.753285,"19F",10,"19F",10,0,"19","19",0,1,1,0
"87","13154_3#22","11657_2#29",32.0153019999998,"19A",27,"4",27,1,"19","4",1,1,1,1
"88","13414_4#23","11657_2#29",41.4727419999999,"4",27,"4",27,0,"4","4",0,1,1,0
"89","15608_3#26","11657_2#47",32.1832949999998,"4",27,"4",27,0,"4","4",0,1,1,0
"90","11826_1#25","11657_2#5",225.414719,"6A",13,"6A",13,0,"6","6",0,1,1,0
"91","11657_8#1","11657_2#52",61.198486,"18C",50,"18C",50,0,"18","18",0,1,1,0
"92","14673_2#9","11657_2#55",23.694216,"19F",16,"19F",16,0,"19","19",0,1,1,0
"93","12291_5#34","11657_2#55",13.079326,"23F",16,"19F",16,1,"23","19",1,1,1,1
"94","15682_2#61","11657_2#56",60.0460569999999,"18C",50,"18C",50,0,"18","18",0,1,1,0
"95","11511_7#41","11657_2#72",26.201299,"6A",97,"6A",97,0,"6","6",0,1,1,0
"96","14673_2#41","11657_2#76",46.497276,"14",6,"9V",6,1,"14","9",1,1,1,1
"97","14673_3#58","11657_2#76",24.365348,"9V",6,"9V",6,0,"9","9",0,1,1,0
"98","11822_1#62","11657_2#78",33.60664,"6A",97,"6A",97,0,"6","6",0,1,1,0
"99","12291_5#46","11657_2#84",22.720887,"19A",97,"19A",97,0,"19","19",0,1,1,0
"100","11822_1#55","11657_2#84",20.380493,"6A",97,"19A",97,1,"6","19",1,1,1,1
"101","11511_7#38","11657_2#87",98.113584,"22F",19,"31",19,1,"22","31",1,1,1,1
"102","19341_2#126","11657_2#87",250.398214,"42",19,"31",19,1,"42","31",1,1,1,1
"103","11822_1#55","11657_2#9",21.025705,"6A",97,"6A",97,0,"6","6",0,1,1,0
"104","13710_1#39","11657_4#2",46.90191,"7F",15,"7F",15,0,"7","7",0,1,1,0
"105","21999_8#86","11657_4#30",35.8034710000001,"19A",1,"19A",1,0,"19","19",0,1,1,0
"106","14673_4#48","11657_4#36",32.659277,"19A",27,"19A",27,0,"19","19",0,1,1,0
"107","14673_1#71","11657_4#40",35.7734030000002,"19A",1,"19A",1,0,"19","19",0,1,1,0
"108","12290_2#9","11657_4#49",366.92983,"19A",6,"19A",6,0,"19","19",0,1,1,0
"109","24775_1#105","11657_4#49",81.237491,"23A",6,"19A",6,1,"23","19",1,1,1,1
"110","13091_5#38","11657_4#49",47.019812,"9V",6,"19A",6,1,"9","19",1,1,1,1
"111","14673_1#64","11657_4#52",14.497118,"19A",16,"19A",16,0,"19","19",0,1,1,0
"112","12291_4#79","11657_4#53",35.7959540000002,"19A",1,"19A",1,0,"19","19",0,1,1,0
"113","11511_8#4","11657_4#55",35.8185050000001,"19A",1,"19A",1,0,"19","19",0,1,1,0
"114","12299_1#75","11657_4#57",47.763498,"22F",19,"22F",19,0,"22","22",0,1,1,0
"115","12291_3#59","11657_4#66",21.036288,"14",6,"14",6,0,"14","14",0,1,1,0
"116","19084_7#93","11657_4#75",25.873961,"14",6,"14",6,0,"14","14",0,1,1,0
"117","19084_8#20","11657_4#76",54.706146,"14",6,"14",6,0,"14","14",0,1,1,0
"118","13091_6#73","11657_4#78",31.807272,"9V",6,"9V",6,0,"9","9",0,1,1,0
"119","13154_2#65","11657_4#82",23.9333650000001,"19A",10,"19A",10,0,"19","19",0,1,1,0
"120","19084_8#50","11657_4#84",44.4577,"14",6,"14",6,0,"14","14",0,1,1,0
"121","11511_8#72","11657_4#85",34.7911760000002,"19A",10,"19A",10,0,"19","19",0,1,1,0
"122","21053_8#175","11657_4#85",187.043582,"19F",10,"19A",10,1,"19","19",0,1,1,0
"123","19084_8#24","11657_4#87",48.509889,"6B",23,"6B",23,0,"6","6",0,1,1,0
"124","12291_1#87","11657_4#88",63.065809,"9N",16,"9N",16,0,"9","9",0,1,1,0
"125","13414_2#30","11657_4#9",37.192765,"15BC",6,"9V",6,1,"15","9",1,1,1,1
"126","14723_6#78","11657_4#9",68.131953,"19A",6,"9V",6,1,"19","9",1,1,1,1
"127","13154_3#29","11657_4#9",35.920138,"35B",6,"9V",6,1,"35","9",1,1,1,1
"128","14673_1#38","11657_4#9",28.95861,"9V",6,"9V",6,0,"9","9",0,1,1,0
"129","19084_8#109","11657_4#93",36.442416,"19F",1,"19F",1,0,"19","19",0,1,1,0
"130","14673_1#52","11657_4#95",35.7884370000002,"19A",1,"19A",1,0,"19","19",0,1,1,0
"131","13414_4#34","11657_4#96",36.0590490000001,"19F",1,"19F",1,0,"19","19",0,1,1,0
"132","11657_2#52","11657_8#1",61.198486,"18C",50,"18C",50,0,"18","18",0,1,1,0
"133","13353_7#69","11657_8#12",155.007165,"19A",4,"19A",4,0,"19","19",0,1,1,0
"134","15682_2#79","11657_8#14",35.886158,"19A",1,"19A",1,0,"19","19",0,1,1,0
"135","13414_2#92","11657_8#2",32.659885,"23A",5,"23A",5,0,"23","23",0,1,1,0
"136","13353_7#80","11657_8#28",53.9584600000001,"6C",13,"6C",13,0,"6","6",0,1,1,0
"137","13414_1#87","11657_8#30",33.825907,"33F",3,"33F",3,0,"33","33",0,1,1,0
"138","11511_8#64","11657_8#35",23.26128,"14",6,"23F",6,1,"14","23",1,1,1,1
"139","13091_6#18","11657_8#35",241.45377,"23F",6,"23F",6,0,"23","23",0,1,1,0
"140","19084_7#171","11657_8#36",26.565055,"14",6,"14",6,0,"14","14",0,1,1,0
"141","22841_3#8","11657_8#39",37.580452,"14",6,"14",6,0,"14","14",0,1,1,0
"142","11658_2#66","11657_8#4",35.7809210000001,"19A",1,"19A",1,0,"19","19",0,1,1,0
"143","13091_6#52","11657_8#48",21.609392,"14",6,"14",6,0,"14","14",0,1,1,0
"144","17966_5#138","11657_8#50",72.5740089999999,"12F",32,"12F",32,0,"12","12",0,1,1,0
"145","11679_1#61","11657_8#51",34.841352,"14",6,"14",6,0,"14","14",0,1,1,0
"146","11658_2#15","11657_8#56",21.812503,"23F",14,"23F",14,0,"23","23",0,1,1,0
"147","11679_1#73","11657_8#57",21.567251,"14",6,"14",6,0,"14","14",0,1,1,0
"148","19084_8#137","11657_8#9",155.704498,"19A",4,"19A",4,0,"19","19",0,1,1,0
"149","15608_2#90","11658_1#11",104.515627,"9V",6,"9V",6,0,"9","9",0,1,1,0
"150","13415_4#76","11658_1#13",128.783331,"6B",14,"23F",14,1,"6","23",1,1,1,1
"151","11893_8#3","11658_1#15",43.013617,"14",9,"14",9,0,"14","14",0,1,1,0
"152","15608_3#5","11658_1#16",36.3489240000001,"4",27,"4",27,0,"4","4",0,1,1,0
"153","15531_7#41","11658_1#20",100.175088,"7F",32,"7F",32,0,"7","7",0,1,1,0
"154","14410_7#27","11658_1#21",70.8907660000002,"7F",32,"7F",32,0,"7","7",0,1,1,0
"155","15531_6#10","11658_1#24",85.400068,"22A",40,"22A",40,0,"22","22",0,1,1,0
"156","14520_7#40","11658_1#24",88.6556979999999,"23F",40,"22A",40,1,"23","22",1,1,1,1
"157","14410_7#16","11658_1#30",79.689117,"6B",23,"6B",23,0,"6","6",0,1,1,0
"158","14673_2#17","11658_1#6",22.131928,"9V",6,"9V",6,0,"9","9",0,1,1,0
"159","11791_1#52","11658_1#63",49.865805,"14",9,"14",9,0,"14","14",0,1,1,0
"160","11679_1#58","11658_2#10",36.15677,"19F",1,"19F",1,0,"19","19",0,1,1,0
"161","11679_1#62","11658_2#14",36.314628,"19F",1,"19F",1,0,"19","19",0,1,1,0
"162","11657_8#56","11658_2#15",21.812503,"23F",14,"23F",14,0,"23","23",0,1,1,0
"163","12291_1#63","11658_2#16",49.095723,"23F",16,"23F",16,0,"23","23",0,1,1,0
"164","19084_7#168","11658_2#18",36.5401380000001,"19F",1,"19F",1,0,"19","19",0,1,1,0
"165","20925_3#7","11658_2#19",35.7433350000001,"19A",1,"19A",1,0,"19","19",0,1,1,0
"166","14673_1#13","11658_2#26",336.960317,"7F",32,"7F",32,0,"7","7",0,1,1,0
"167","21053_8#135","11658_2#26",337.568716,"8",32,"7F",32,1,"8","7",1,1,1,1
"168","12291_1#33","11658_2#28",78.8781649999999,"11A",11,"11A",11,0,"11","11",0,1,1,0
"169","19084_7#114","11658_2#38",40.400211,"6B",23,"6B",23,0,"6","6",0,1,1,0
"170","12291_4#12","11658_2#39",103.7104,"6B",23,"6B",23,0,"6","6",0,1,1,0
"171","13091_6#12","11658_2#41",84.95499,"6A",23,"6A",23,0,"6","6",0,1,1,0
"172","13710_1#28","11658_2#56",52.807051,"22F",19,"22F",19,0,"22","22",0,1,1,0
"173","13710_2#33","11658_2#60",36.1492529999999,"19A",1,"19A",1,0,"19","19",0,1,1,0
"174","13414_3#61","11658_2#62",45.92814,"22F",19,"22F",19,0,"22","22",0,1,1,0
"175","11657_8#4","11658_2#66",35.7809210000001,"19A",1,"19A",1,0,"19","19",0,1,1,0
"176","12291_5#51","11658_2#68",44.36726,"7F",15,"7F",15,0,"7","7",0,1,1,0
"177","21999_7#176","11658_2#74",35.7508520000004,"19A",1,"19A",1,0,"19","19",0,1,1,0
"178","12299_1#65","11658_2#80",54.218183,"22F",19,"22F",19,0,"22","22",0,1,1,0
"179","13710_2#58","11658_2#84",35.7433350000003,"19A",1,"19A",1,0,"19","19",0,1,1,0
"180","19084_8#174","11658_2#85",41.8734709999999,"21",11,"21",11,0,"21","21",0,1,1,0
"181","13710_2#38","11658_2#94",33.8445690000002,"19A",27,"19A",27,0,"19","19",0,1,1,0
"182","19084_7#137","11658_8#10",44.882547,"11A",3,"11A",3,0,"11","11",0,1,1,0
"183","12291_3#26","11658_8#11",79.625454,"23F",14,"23F",14,0,"23","23",0,1,1,0
"184","19084_7#118","11658_8#12",30.221253,"23A",5,"23A",5,0,"23","23",0,1,1,0
"185","12291_1#32","11658_8#13",56.585787,"24",10,"24",10,0,"24","24",0,1,1,0
"186","21127_1#90","11658_8#4",320.576034,"11A",3,"33F",3,1,"11","33",1,1,1,1
"187","12291_4#66","11679_1#13",35.8786400000001,"19A",1,"19A",1,0,"19","19",0,1,1,0
"188","13154_4#40","11679_1#14",155.060809,"19A",4,"19A",4,0,"19","19",0,1,1,0
"189","14673_3#9","11679_1#15",44.137119,"7F",15,"7F",15,0,"7","7",0,1,1,0
"190","12291_5#61","11679_1#16",44.7466800000001,"7F",15,"7F",15,0,"7","7",0,1,1,0
"191","22841_2#120","11679_1#23",33.5726060000002,"15BC",11,"15BC",11,0,"15","15",0,1,1,0
"192","21053_8#150","11679_1#23",89.0048180000008,"19F",11,"15BC",11,1,"19","15",1,1,1,1
"193","14673_3#7","11679_1#27",36.1793210000001,"19A",1,"19A",1,0,"19","19",0,1,1,0
"194","12291_4#35","11679_1#29",34.581876,"19A",27,"19A",27,0,"19","19",0,1,1,0
"195","13414_2#63","11679_1#3",35.8034700000001,"19A",1,"19A",1,0,"19","19",0,1,1,0
"196","14673_3#37","11679_1#33",155.214065,"19A",4,"19A",4,0,"19","19",0,1,1,0
"197","13414_2#59","11679_1#37",41.195282,"19A",10,"19A",10,0,"19","19",0,1,1,0
"198","13710_2#49","11679_1#40",45.68279,"7F",15,"7F",15,0,"7","7",0,1,1,0
"199","13353_7#67","11679_1#43",14.645579,"9N",16,"19A",16,1,"9","19",1,1,1,1
"200","14673_1#1","11679_1#45",83.0748,"15BC",6,"15BC",6,0,"15","15",0,1,1,0
"201","13414_1#48","11679_1#45",157.713159,"23B",6,"15BC",6,1,"23","15",1,1,1,1
"202","15608_2#90","11679_1#45",117.014355,"9V",6,"15BC",6,1,"9","15",1,1,1,1
"203","14673_3#68","11679_1#5",154.976515,"19A",4,"19A",4,0,"19","19",0,1,1,0
"204","17966_5#118","11679_1#52",154.907546,"19A",4,"19A",4,0,"19","19",0,1,1,0
"205","13353_7#67","11679_1#54",26.173499,"9N",16,"9N",16,0,"9","9",0,1,1,0
"206","13091_6#73","11679_1#57",56.97328,"9V",6,"14",6,1,"9","14",1,1,1,1
"207","11658_2#10","11679_1#58",36.15677,"19F",1,"19F",1,0,"19","19",0,1,1,0
"208","11657_8#51","11679_1#61",34.841352,"14",6,"14",6,0,"14","14",0,1,1,0
"209","11658_2#14","11679_1#62",36.314628,"19F",1,"19F",1,0,"19","19",0,1,1,0
"210","19084_8#81","11679_1#63",74.908409,"23F",14,"23F",14,0,"23","23",0,1,1,0
"211","12291_1#68","11679_1#69",37.066344,"14",6,"14",6,0,"14","14",0,1,1,0
"212","21999_8#11","11679_1#72",40.993792,"14",6,"14",6,0,"14","14",0,1,1,0
"213","11657_8#57","11679_1#73",21.567251,"14",6,"14",6,0,"14","14",0,1,1,0
"214","19084_7#163","11679_1#74",35.780919,"19F",1,"19F",1,0,"19","19",0,1,1,0
"215","13154_2#50","11679_1#89",34.647297,"14",18,"14",18,0,"14","14",0,1,1,0
"216","19084_7#129","11679_1#90",61.469862,"23F",16,"23F",16,0,"23","23",0,1,1,0
"217","11511_8#79","11679_1#93",52.938012,"6B",23,"6B",23,0,"6","6",0,1,1,0
"218","11826_1#38","11791_1#12",60.728844,"22F",19,"22F",19,0,"22","22",0,1,1,0
"219","15608_3#1","11791_1#17",20.201916,"9V",6,"9V",6,0,"9","9",0,1,1,0
"220","14673_3#64","11791_1#21",147.626894,"6A",23,"6B",23,1,"6","6",0,1,1,0
"221","11826_1#79","11791_1#21",107.739593,"6B",23,"6B",23,0,"6","6",0,1,1,0
"222","14673_3#91","11791_1#22",55.8455619999998,"4",27,"4",27,0,"4","4",0,1,1,0
"223","11511_8#26","11791_1#23",111.628865,"19A",6,"9V",6,1,"19","9",1,1,1,1
"224","11658_1#63","11791_1#52",49.865805,"14",9,"14",9,0,"14","14",0,1,1,0
"225","14520_4#65","11791_1#61",0.147163,"23F",94,"23F",94,0,"23","23",0,1,1,0
"226","15608_2#49","11791_1#7",21.204848,"9V",6,"9V",6,0,"9","9",0,1,1,0
"227","11657_2#18","11822_1#11",145.992842,"18C",50,"18C",50,0,"18","18",0,1,1,0
"228","11822_1#51","11822_1#24",31.9074659999992,"14",18,"14",18,0,"14","14",0,1,1,0
"229","19341_2#94","11822_1#25",34.44386,"18C",3,"18C",3,0,"18","18",0,1,1,0
"230","11511_7#81","11822_1#26",36.7502419999998,"4",27,"4",27,0,"4","4",0,1,1,0
"231","14673_1#95","11822_1#29",73.689408,"12F",32,"12F",32,0,"12","12",0,1,1,0
"232","19341_2#137","11822_1#34",164.080152,"15BC",4,"14",4,1,"15","14",1,1,1,1
"233","14673_3#64","11822_1#35",341.865902,"6A",23,"6A",23,0,"6","6",0,1,1,0
"234","11511_7#29","11822_1#35",58.015819,"6B",23,"6A",23,1,"6","6",0,1,1,0
"235","13414_1#31","11822_1#50",173.735538,"15BC",4,"19F",4,1,"15","19",1,1,1,1
"236","13414_4#29","11822_1#50",177.789261,"19A",4,"19F",4,1,"19","19",0,1,1,0
"237","15995_1#17","11822_1#50",195.306883,"19B",4,"19F",4,1,"19","19",0,1,1,0
"238","14673_1#39","11822_1#50",217.813111,"19F",4,"19F",4,0,"19","19",0,1,1,0
"239","11822_1#24","11822_1#51",31.9074659999992,"14",18,"14",18,0,"14","14",0,1,1,0
"240","19084_8#145","11822_1#53",34.5548669999989,"14",18,"14",18,0,"14","14",0,1,1,0
"241","12299_1#85","11822_1#54",44.354819,"7F",15,"7F",15,0,"7","7",0,1,1,0
"242","11657_2#84","11822_1#55",20.380493,"19A",97,"6A",97,1,"19","6",1,1,1,1
"243","11657_2#9","11822_1#55",21.025705,"6A",97,"6A",97,0,"6","6",0,1,1,0
"244","13414_2#7","11822_1#56",155.114448,"19A",4,"19A",4,0,"19","19",0,1,1,0
"245","13091_6#65","11822_1#59",40.707958,"6B",23,"6B",23,0,"6","6",0,1,1,0
"246","11511_7#44","11822_1#61",34.792645,"6A",97,"6A",97,0,"6","6",0,1,1,0
"247","11657_2#78","11822_1#62",33.60664,"6A",97,"6A",97,0,"6","6",0,1,1,0
"248","14673_2#68","11822_1#73",33.029332,"9V",6,"9V",6,0,"9","9",0,1,1,0
"249","15608_2#64","11822_1#76",96.746304,"18C",50,"18C",50,0,"18","18",0,1,1,0
"250","15608_3#23","11822_1#77",51.767111,"22F",19,"22F",19,0,"22","22",0,1,1,0
"251","21127_2#119","11822_1#80",25.747541,"14",6,"14",6,0,"14","14",0,1,1,0
"252","15277_1#18","11822_1#83",31.9206699999995,"14",18,"14",18,0,"14","14",0,1,1,0
"253","11826_1#73","11822_1#85",30.610496,"9V",6,"9V",6,0,"9","9",0,1,1,0
"254","11826_1#41","11822_1#86",16.308331,"23F",16,"23F",16,0,"23","23",0,1,1,0
"255","14913_7#80","11822_1#86",45.339682,"6A",16,"23F",16,1,"6","23",1,1,1,1
"256","13414_2#47","11822_1#87",156.991882,"15BC",4,"15BC",4,0,"15","15",0,1,1,0
"257","14673_2#5","11822_1#88",35.423081,"11A",3,"11A",3,0,"11","11",0,1,1,0
"258","22841_3#57","11822_1#9",54.411165,"14",6,"14",6,0,"14","14",0,1,1,0
"259","11657_1#70","11822_1#9",55.397243,"9V",6,"14",6,1,"9","14",1,1,1,1
"260","19341_2#145","11822_1#94",789.829722,"6B",76,"6B",76,0,"6","6",0,1,1,0
"261","13414_1#26","11826_1#10",36.117094,"33F",3,"33F",3,0,"33","33",0,1,1,0
"262","11657_2#5","11826_1#25",225.414719,"6A",13,"6A",13,0,"6","6",0,1,1,0
"263","22841_2#127","11826_1#26",60.9158130000001,"18C",50,"18C",50,0,"18","18",0,1,1,0
"264","14673_2#75","11826_1#30",613.390975,"18B",50,"18B",50,0,"18","18",0,1,1,0
"265","15608_2#82","11826_1#30",55.4182089999999,"18C",50,"18B",50,1,"18","18",0,1,1,0
"266","11791_1#12","11826_1#38",60.728844,"22F",19,"22F",19,0,"22","22",0,1,1,0
"267","12291_5#11","11826_1#40",26.759915,"14",16,"14",16,0,"14","14",0,1,1,0
"268","11822_1#86","11826_1#41",16.308331,"23F",16,"23F",16,0,"23","23",0,1,1,0
"269","16043_2#82","11826_1#42",65.493989,"9V",6,"9V",6,0,"9","9",0,1,1,0
"270","12290_2#9","11826_1#46",75.953135,"19A",6,"9V",6,1,"19","9",1,1,1,1
"271","14673_2#63","11826_1#46",29.936256,"9V",6,"9V",6,0,"9","9",0,1,1,0
"272","19084_8#57","11826_1#48",111.708725,"19F",16,"23F",16,1,"19","23",1,1,1,1
"273","15608_5#77","11826_1#48",39.802126,"23F",16,"23F",16,0,"23","23",0,1,1,0
"274","16043_2#59","11826_1#51",172.601418,"19A",4,"19A",4,0,"19","19",0,1,1,0
"275","15608_3#50","11826_1#52",32.5808689999999,"14",18,"14",18,0,"14","14",0,1,1,0
"276","11657_2#2","11826_1#57",79.032193,"18C",50,"18C",50,0,"18","18",0,1,1,0
"277","22841_1#92","11826_1#60",71.613633,"6B",23,"6B",23,0,"6","6",0,1,1,0
"278","14673_2#43","11826_1#64",33.653004,"14",6,"14",6,0,"14","14",0,1,1,0
"279","15608_2#86","11826_1#69",42.3096,"4",27,"4",27,0,"4","4",0,1,1,0
"280","11822_1#85","11826_1#73",30.610496,"9V",6,"9V",6,0,"9","9",0,1,1,0
"281","11511_8#58","11826_1#77",166.455685,"15BC",4,"15BC",4,0,"15","15",0,1,1,0
